,,,male,female,total foreigners,total male,total female,total
2003,Thuringen,Hessen,235,144,379,2385,2837,5222
2003,Thuringen,Rheinland-Pfalz,65,64,129,647,662,1309
2003,Thuringen,Baden-Wurttemberg,189,155,344,2354,2425,4779
2003,Thuringen,Bayern,312,217,529,3898,4126,8024
2003,Thuringen,Saarland,5,5,10,59,60,119
2003,Thuringen,Berlin,91,87,178,790,792,1582
2003,Thuringen,Brandenburg,13,6,19,392,419,811
2003,Thuringen,Mecklenburg-Vorpommern,20,9,29,330,321,651
2003,Thuringen,Sachsen,137,88,225,2262,2322,4584
2003,Thuringen,Sachsen-Anhalt,80,26,106,1169,1348,2517
2003,Thuringen,Thuringen,0,0,0,0,0,0
2003,Thuringen,Insgesamt,1651,1120,2771,18193,19542,37735
2003,Insgesamt,Schleswig-Holstein,2912,2476,5388,30476,31740,62216
2003,Insgesamt,Hamburg,4128,3070,7198,29344,28375,57719
2003,Insgesamt,Niedersachsen,6595,4994,11589,61083,61253,122336
2003,Insgesamt,Bremen,1677,1346,3023,11403,10892,22295
2003,Insgesamt,Nordrhein-Westfalen,14766,10628,25394,78300,77260,155560
2003,Insgesamt,Hessen,9073,6729,15802,45224,44728,89952
2003,Insgesamt,Rheinland-Pfalz,5548,4333,9881,34185,32840,67025
2003,Insgesamt,Baden-Wurttemberg,11483,9130,20613,66634,64542,131176
2003,Insgesamt,Bayern,11192,8075,19267,67835,65574,133409
2003,Insgesamt,Saarland,958,756,1714,5638,5297,10935
2003,Insgesamt,Berlin,5186,4134,9320,38197,36835,75032
2003,Insgesamt,Brandenburg,1649,1296,2945,29013,28744,57757
2003,Insgesamt,Mecklenburg-Vorpommern,1135,800,1935,13170,12654,25824
2003,Insgesamt,Sachsen,2605,1776,4381,24018,22246,46264
2003,Insgesamt,Sachsen-Anhalt,1719,987,2706,15511,14956,30467
2003,Insgesamt,Thuringen,1140,792,1932,13696,13195,26891
2003,Insgesamt,Insgesamt,81766,61322,143088,563727,551131,1114858
2004,Schleswig-Holstein,Schleswig-Holstein,0,0,0,0,0,0
2004,Schleswig-Holstein,Hamburg,1055,989,2044,9991,9629,19620
2004,Schleswig-Holstein,Niedersachsen,299,228,527,4245,4107,8352
2004,Schleswig-Holstein,Bremen,68,56,124,481,439,920
2004,Schleswig-Holstein,Nordrhein-Westfalen,352,224,576,2707,2711,5418
2004,Schleswig-Holstein,Hessen,109,87,196,953,990,1943
2004,Schleswig-Holstein,Rheinland-Pfalz,31,39,70,483,529,1012
2004,Schleswig-Holstein,Baden-Wurttemberg,190,154,344,1504,1387,2891
2004,Schleswig-Holstein,Bayern,161,153,314,1428,1338,2766
2004,Schleswig-Holstein,Saarland,11,5,16,87,89,176
2004,Schleswig-Holstein,Berlin,110,117,227,1196,1141,2337
2004,Schleswig-Holstein,Brandenburg,18,12,30,514,506,1020
2004,Schleswig-Holstein,Mecklenburg-Vorpommern,75,38,113,2277,1940,4217
2004,Schleswig-Holstein,Sachsen,23,20,43,392,350,742
2004,Schleswig-Holstein,Sachsen-Anhalt,35,17,52,321,265,586
2004,Schleswig-Holstein,Thuringen,18,7,25,186,171,357
2004,Schleswig-Holstein,Insgesamt,2555,2146,4701,26765,25592,52357
2004,Hamburg,Schleswig-Holstein,1012,890,1902,11506,11845,23351
2004,Hamburg,Hamburg,0,0,0,0,0,0
2004,Hamburg,Niedersachsen,543,439,982,6069,6175,12244
2004,Hamburg,Bremen,104,48,152,481,408,889
2004,Hamburg,Nordrhein-Westfalen,400,282,682,2184,2078,4262
2004,Hamburg,Hessen,137,121,258,881,797,1678
2004,Hamburg,Rheinland-Pfalz,69,35,104,300,286,586
2004,Hamburg,Baden-Wurttemberg,224,183,407,1111,1064,2175
2004,Hamburg,Bayern,304,158,462,1269,1089,2358
2004,Hamburg,Saarland,7,8,15,68,62,130
2004,Hamburg,Berlin,184,141,325,1348,1233,2581
2004,Hamburg,Brandenburg,21,5,26,291,260,551
2004,Hamburg,Mecklenburg-Vorpommern,45,38,83,1175,1000,2175
2004,Hamburg,Sachsen,29,25,54,296,259,555
2004,Hamburg,Sachsen-Anhalt,39,19,58,234,184,418
2004,Hamburg,Thuringen,20,5,25,117,76,193
2004,Hamburg,Insgesamt,3138,2397,5535,27330,26816,54146
2004,Niedersachsen,Schleswig-Holstein,641,603,1244,5070,5166,10236
2004,Niedersachsen,Hamburg,797,679,1476,6606,6476,13082
2004,Niedersachsen,Niedersachsen,0,0,0,0,0,0
2004,Niedersachsen,Bremen,733,727,1460,6805,6527,13332
2004,Niedersachsen,Nordrhein-Westfalen,2765,2307,5072,20894,21194,42088
2004,Niedersachsen,Hessen,967,897,1864,5792,6073,11865
2004,Niedersachsen,Rheinland-Pfalz,448,473,921,2720,2830,5550
2004,Niedersachsen,Baden-Wurttemberg,1496,1322,2818,7323,7269,14592
2004,Niedersachsen,Bayern,1583,1432,3015,7960,7899,15859
2004,Niedersachsen,Saarland,156,158,314,596,604,1200
2004,Niedersachsen,Berlin,475,450,925,3596,3388,6984
2004,Niedersachsen,Brandenburg,254,245,499,2282,2293,4575
2004,Niedersachsen,Mecklenburg-Vorpommern,287,222,509,2319,2123,4442
2004,Niedersachsen,Sachsen,542,460,1002,3128,3181,6309
2004,Niedersachsen,Sachsen-Anhalt,378,309,687,3960,3872,7832
2004,Niedersachsen,Thuringen,248,233,481,1917,1994,3911
2004,Niedersachsen,Insgesamt,11770,10517,22287,80968,80889,161857
2004,Bremen,Schleswig-Holstein,43,40,83,379,353,732
2004,Bremen,Hamburg,141,102,243,586,551,1137
2004,Bremen,Niedersachsen,647,556,1203,6631,6696,13327
2004,Bremen,Bremen,0,0,0,0,0,0
2004,Bremen,Nordrhein-Westfalen,249,200,449,1007,983,1990
2004,Bremen,Hessen,68,56,124,309,317,626
2004,Bremen,Rheinland-Pfalz,24,17,41,132,117,249
2004,Bremen,Baden-Wurttemberg,76,64,140,421,386,807
2004,Bremen,Bayern,75,57,132,354,336,690
2004,Bremen,Saarland,7,3,10,31,29,60
2004,Bremen,Berlin,57,51,108,365,308,673
2004,Bremen,Brandenburg,3,5,8,71,76,147
2004,Bremen,Mecklenburg-Vorpommern,23,5,28,172,136,308
2004,Bremen,Sachsen,21,8,29,137,99,236
2004,Bremen,Sachsen-Anhalt,8,6,14,78,79,157
2004,Bremen,Thuringen,6,2,8,56,49,105
2004,Bremen,Insgesamt,1448,1172,2620,10729,10515,21244
2004,Nordrhein-Westfalen,Schleswig-Holstein,414,212,626,3254,3284,6538
2004,Nordrhein-Westfalen,Hamburg,530,349,879,3079,2900,5979
2004,Nordrhein-Westfalen,Niedersachsen,1744,1342,3086,14724,14726,29450
2004,Nordrhein-Westfalen,Bremen,199,167,366,1038,1074,2112
2004,Nordrhein-Westfalen,Nordrhein-Westfalen,0,0,0,0,0,0
2004,Nordrhein-Westfalen,Hessen,1822,1293,3115,8406,8080,16486
2004,Nordrhein-Westfalen,Rheinland-Pfalz,1194,846,2040,8449,8183,16632
2004,Nordrhein-Westfalen,Baden-Wurttemberg,1748,1364,3112,9000,8471,17471
2004,Nordrhein-Westfalen,Bayern,1756,1187,2943,8761,8191,16952
2004,Nordrhein-Westfalen,Saarland,131,93,224,734,659,1393
2004,Nordrhein-Westfalen,Berlin,706,627,1333,4545,4204,8749
2004,Nordrhein-Westfalen,Brandenburg,92,69,161,1420,1267,2687
2004,Nordrhein-Westfalen,Mecklenburg-Vorpommern,138,57,195,1185,1001,2186
2004,Nordrhein-Westfalen,Sachsen,304,173,477,2253,1892,4145
2004,Nordrhein-Westfalen,Sachsen-Anhalt,349,104,453,1596,1132,2728
2004,Nordrhein-Westfalen,Thuringen,146,65,211,1162,1014,2176
2004,Nordrhein-Westfalen,Insgesamt,11273,7948,19221,69606,66078,135684
2004,Hessen,Schleswig-Holstein,125,82,207,1055,1136,2191
2004,Hessen,Hamburg,163,150,313,1173,1193,2366
2004,Hessen,Niedersachsen,467,440,907,3878,4000,7878
2004,Hessen,Bremen,76,49,125,354,339,693
2004,Hessen,Nordrhein-Westfalen,1640,1273,2913,8354,8218,16572
2004,Hessen,Hessen,0,0,0,0,0,0
2004,Hessen,Rheinland-Pfalz,1363,1050,2413,7326,7018,14344
2004,Hessen,Baden-Wurttemberg,1575,1199,2774,7732,7220,14952
2004,Hessen,Bayern,1372,873,2245,6869,6160,13029
2004,Hessen,Saarland,93,59,152,485,398,883
2004,Hessen,Berlin,283,231,514,1917,1783,3700
2004,Hessen,Brandenburg,25,23,48,575,571,1146
2004,Hessen,Mecklenburg-Vorpommern,34,32,66,365,347,712
2004,Hessen,Sachsen,121,104,225,1201,1082,2283
2004,Hessen,Sachsen-Anhalt,92,44,136,602,543,1145
2004,Hessen,Thuringen,132,86,218,1466,1515,2981
2004,Hessen,Insgesamt,7561,5695,13256,43352,41523,84875
2004,Rheinland-Pfalz,Schleswig-Holstein,44,42,86,460,517,977
2004,Rheinland-Pfalz,Hamburg,62,47,109,432,365,797
2004,Rheinland-Pfalz,Niedersachsen,177,132,309,1443,1339,2782
2004,Rheinland-Pfalz,Bremen,30,30,60,125,158,283
2004,Rheinland-Pfalz,Nordrhein-Westfalen,1157,1006,2163,8007,7953,15960
2004,Rheinland-Pfalz,Hessen,1281,1091,2372,6311,6270,12581
2004,Rheinland-Pfalz,Rheinland-Pfalz,0,0,0,0,0,0
2004,Rheinland-Pfalz,Baden-Wurttemberg,1145,991,2136,6194,6163,12357
2004,Rheinland-Pfalz,Bayern,396,317,713,2421,2304,4725
2004,Rheinland-Pfalz,Saarland,212,172,384,1748,1759,3507
2004,Rheinland-Pfalz,Berlin,101,99,200,741,767,1508
2004,Rheinland-Pfalz,Brandenburg,31,14,45,326,283,609
2004,Rheinland-Pfalz,Mecklenburg-Vorpommern,11,16,27,195,190,385
2004,Rheinland-Pfalz,Sachsen,49,30,79,572,513,1085
2004,Rheinland-Pfalz,Sachsen-Anhalt,57,22,79,317,263,580
2004,Rheinland-Pfalz,Thuringen,34,22,56,333,321,654
2004,Rheinland-Pfalz,Insgesamt,4787,4031,8818,29625,29165,58790
2004,Baden-Wurttemberg,Schleswig-Holstein,158,128,286,1341,1369,2710
2004,Baden-Wurttemberg,Hamburg,248,155,403,1323,1245,2568
2004,Baden-Wurttemberg,Niedersachsen,437,363,800,3314,3210,6524
2004,Baden-Wurttemberg,Bremen,102,62,164,400,361,761
2004,Baden-Wurttemberg,Nordrhein-Westfalen,1829,1385,3214,8195,7822,16017
2004,Baden-Wurttemberg,Hessen,1570,1231,2801,7121,6845,13966
2004,Baden-Wurttemberg,Rheinland-Pfalz,1235,1015,2250,6463,6196,12659
2004,Baden-Wurttemberg,Baden-Wurttemberg,0,0,0,0,0,0
2004,Baden-Wurttemberg,Bayern,2628,1967,4595,15155,14723,29878
2004,Baden-Wurttemberg,Saarland,165,119,284,786,746,1532
2004,Baden-Wurttemberg,Berlin,400,347,747,2806,2597,5403
2004,Baden-Wurttemberg,Brandenburg,57,37,94,1063,976,2039
2004,Baden-Wurttemberg,Mecklenburg-Vorpommern,56,30,86,607,521,1128
2004,Baden-Wurttemberg,Sachsen,225,154,379,2552,2237,4789
2004,Baden-Wurttemberg,Sachsen-Anhalt,135,56,191,1028,861,1889
2004,Baden-Wurttemberg,Thuringen,97,66,163,1153,1031,2184
2004,Baden-Wurttemberg,Insgesamt,9342,7115,16457,53307,50740,104047
2004,Bayern,Schleswig-Holstein,160,128,288,1277,1217,2494
2004,Bayern,Hamburg,264,209,473,1454,1335,2789
2004,Bayern,Niedersachsen,491,368,859,3406,3149,6555
2004,Bayern,Bremen,97,52,149,400,322,722
2004,Bayern,Nordrhein-Westfalen,1839,1294,3133,7983,7357,15340
2004,Bayern,Hessen,1524,969,2493,6398,5731,12129
2004,Bayern,Rheinland-Pfalz,510,314,824,2430,2205,4635
2004,Bayern,Baden-Wurttemberg,2565,1943,4508,14765,14479,29244
2004,Bayern,Bayern,0,0,0,0,0,0
2004,Bayern,Saarland,91,57,148,441,419,860
2004,Bayern,Berlin,521,441,962,3343,3047,6390
2004,Bayern,Brandenburg,86,49,135,1333,1140,2473
2004,Bayern,Mecklenburg-Vorpommern,45,14,59,566,485,1051
2004,Bayern,Sachsen,392,195,587,4050,3487,7537
2004,Bayern,Sachsen-Anhalt,120,78,198,1224,1094,2318
2004,Bayern,Thuringen,160,97,257,2248,2072,4320
2004,Bayern,Insgesamt,8865,6208,15073,51318,47539,98857
2004,Saarland,Schleswig-Holstein,15,9,24,88,89,177
2004,Saarland,Hamburg,30,13,43,91,71,162
2004,Saarland,Niedersachsen,36,31,67,219,221,440
2004,Saarland,Bremen,41,31,72,63,61,124
2004,Saarland,Nordrhein-Westfalen,356,182,538,985,812,1797
2004,Saarland,Hessen,113,85,198,473,458,931
2004,Saarland,Rheinland-Pfalz,177,154,331,1849,1846,3695
2004,Saarland,Baden-Wurttemberg,177,114,291,875,874,1749
2004,Saarland,Bayern,154,85,239,532,473,1005
2004,Saarland,Saarland,0,0,0,0,0,0
2004,Saarland,Berlin,39,28,67,191,156,347
2004,Saarland,Brandenburg,8,0,8,53,47,100
2004,Saarland,Mecklenburg-Vorpommern,19,11,30,52,40,92
2004,Saarland,Sachsen,31,3,34,135,86,221
2004,Saarland,Sachsen-Anhalt,4,9,13,51,41,92
2004,Saarland,Thuringen,11,4,15,55,51,106
2004,Saarland,Insgesamt,1211,759,1970,5712,5326,11038
2004,Berlin,Schleswig-Holstein,137,95,232,1472,1443,2915
2004,Berlin,Hamburg,213,153,366,1468,1336,2804
2004,Berlin,Niedersachsen,341,276,617,2899,2811,5710
2004,Berlin,Bremen,53,44,97,342,340,682
2004,Berlin,Nordrhein-Westfalen,841,674,1515,4351,4150,8501
2004,Berlin,Hessen,362,274,636,1938,1836,3774
2004,Berlin,Rheinland-Pfalz,151,108,259,834,780,1614
2004,Berlin,Baden-Wurttemberg,571,460,1031,3291,2908,6199
2004,Berlin,Bayern,649,512,1161,3597,3316,6913
2004,Berlin,Saarland,50,21,71,216,198,414
2004,Berlin,Berlin,0,0,0,0,0,0
2004,Berlin,Brandenburg,791,731,1522,16997,16958,33955
2004,Berlin,Mecklenburg-Vorpommern,173,94,267,1518,1367,2885
2004,Berlin,Sachsen,236,186,422,1516,1445,2961
2004,Berlin,Sachsen-Anhalt,167,81,248,943,863,1806
2004,Berlin,Thuringen,89,64,153,638,566,1204
2004,Berlin,Insgesamt,4824,3773,8597,42020,40317,82337
2004,Brandenburg,Schleswig-Holstein,27,11,38,835,908,1743
2004,Brandenburg,Hamburg,36,44,80,746,799,1545
2004,Brandenburg,Niedersachsen,101,94,195,2070,2195,4265
2004,Brandenburg,Bremen,11,12,23,147,184,331
2004,Brandenburg,Nordrhein-Westfalen,230,176,406,2315,2403,4718
2004,Brandenburg,Hessen,107,72,179,954,1003,1957
2004,Brandenburg,Rheinland-Pfalz,41,34,75,519,601,1120
2004,Brandenburg,Baden-Wurttemberg,152,122,274,2186,2118,4304
2004,Brandenburg,Bayern,132,102,234,2206,2066,4272
2004,Brandenburg,Saarland,3,4,7,86,85,171
2004,Brandenburg,Berlin,1074,966,2040,11144,11689,22833
2004,Brandenburg,Brandenburg,0,0,0,0,0,0
2004,Brandenburg,Mecklenburg-Vorpommern,40,34,74,1407,1621,3028
2004,Brandenburg,Sachsen,112,80,192,2025,1974,3999
2004,Brandenburg,Sachsen-Anhalt,80,29,109,1121,1159,2280
2004,Brandenburg,Thuringen,32,15,47,468,467,935
2004,Brandenburg,Insgesamt,2178,1795,3973,28229,29272,57501
2004,Mecklenburg-Vorpommern,Schleswig-Holstein,151,88,239,3193,3237,6430
2004,Mecklenburg-Vorpommern,Hamburg,235,176,411,2727,2717,5444
2004,Mecklenburg-Vorpommern,Niedersachsen,211,110,321,2451,2424,4875
2004,Mecklenburg-Vorpommern,Bremen,29,21,50,288,290,578
2004,Mecklenburg-Vorpommern,Nordrhein-Westfalen,235,119,354,1618,1538,3156
2004,Mecklenburg-Vorpommern,Hessen,74,39,113,559,519,1078
2004,Mecklenburg-Vorpommern,Rheinland-Pfalz,36,21,57,332,308,640
2004,Mecklenburg-Vorpommern,Baden-Wurttemberg,95,54,149,977,966,1943
2004,Mecklenburg-Vorpommern,Bayern,86,81,167,938,859,1797
2004,Mecklenburg-Vorpommern,Saarland,11,4,15,47,38,85
2004,Mecklenburg-Vorpommern,Berlin,202,166,368,1782,1809,3591
2004,Mecklenburg-Vorpommern,Brandenburg,38,18,56,1232,1218,2450
2004,Mecklenburg-Vorpommern,Mecklenburg-Vorpommern,0,0,0,0,0,0
2004,Mecklenburg-Vorpommern,Sachsen,40,31,71,621,646,1267
2004,Mecklenburg-Vorpommern,Sachsen-Anhalt,29,22,51,439,422,861
2004,Mecklenburg-Vorpommern,Thuringen,8,9,17,251,255,506
2004,Mecklenburg-Vorpommern,Insgesamt,1480,959,2439,17455,17246,34701
2004,Sachsen,Schleswig-Holstein,53,22,75,525,571,1096
2004,Sachsen,Hamburg,109,56,165,525,542,1067
2004,Sachsen,Niedersachsen,215,154,369,1822,1868,3690
2004,Sachsen,Bremen,37,24,61,181,154,335
2004,Sachsen,Nordrhein-Westfalen,666,337,1003,3223,3156,6379
2004,Sachsen,Hessen,293,169,462,1892,2030,3922
2004,Sachsen,Rheinland-Pfalz,107,69,176,931,908,1839
2004,Sachsen,Baden-Wurttemberg,449,309,758,4473,4415,8888
2004,Sachsen,Bayern,575,345,920,6220,6043,12263
2004,Sachsen,Saarland,31,12,43,162,159,321
2004,Sachsen,Berlin,397,249,646,1850,1855,3705
2004,Sachsen,Brandenburg,114,71,185,1659,1812,3471
2004,Sachsen,Mecklenburg-Vorpommern,55,18,73,667,738,1405
2004,Sachsen,Sachsen,0,0,0,0,0,0
2004,Sachsen,Sachsen-Anhalt,233,136,369,1991,1985,3976
2004,Sachsen,Thuringen,164,85,249,1960,2019,3979
2004,Sachsen,Insgesamt,3498,2056,5554,28081,28255,56336
2004,Sachsen-Anhalt,Schleswig-Holstein,64,31,95,582,540,1122
2004,Sachsen-Anhalt,Hamburg,77,44,121,489,488,977
2004,Sachsen-Anhalt,Niedersachsen,363,262,625,4780,5053,9833
2004,Sachsen-Anhalt,Bremen,37,19,56,196,206,402
2004,Sachsen-Anhalt,Nordrhein-Westfalen,582,321,903,2679,2590,5269
2004,Sachsen-Anhalt,Hessen,159,86,245,1142,1133,2275
2004,Sachsen-Anhalt,Rheinland-Pfalz,101,53,154,655,581,1236
2004,Sachsen-Anhalt,Baden-Wurttemberg,243,146,389,2168,1982,4150
2004,Sachsen-Anhalt,Bayern,258,163,421,2440,2228,4668
2004,Sachsen-Anhalt,Saarland,15,5,20,94,76,170
2004,Sachsen-Anhalt,Berlin,263,168,431,1376,1409,2785
2004,Sachsen-Anhalt,Brandenburg,60,29,89,1044,1120,2164
2004,Sachsen-Anhalt,Mecklenburg-Vorpommern,23,12,35,521,614,1135
2004,Sachsen-Anhalt,Sachsen,269,174,443,2722,2762,5484
2004,Sachsen-Anhalt,Sachsen-Anhalt,0,0,0,0,0,0
2004,Sachsen-Anhalt,Thuringen,85,36,121,1250,1352,2602
2004,Sachsen-Anhalt,Insgesamt,2599,1549,4148,22138,22134,44272
2004,Thuringen,Schleswig-Holstein,24,17,41,290,327,617
2004,Thuringen,Hamburg,28,17,45,253,262,515
2004,Thuringen,Niedersachsen,111,86,197,1463,1546,3009
2004,Thuringen,Bremen,19,5,24,108,102,210
2004,Thuringen,Nordrhein-Westfalen,315,195,510,1837,1921,3758
2004,Thuringen,Hessen,231,118,349,2284,2585,4869
2004,Thuringen,Rheinland-Pfalz,56,49,105,563,521,1084
2004,Thuringen,Baden-Wurttemberg,208,123,331,2274,2106,4380
2004,Thuringen,Bayern,245,181,426,3566,3811,7377
2004,Thuringen,Saarland,6,3,9,93,86,179
2004,Thuringen,Berlin,105,70,175,832,786,1618
2004,Thuringen,Brandenburg,20,15,35,396,460,856
2004,Thuringen,Mecklenburg-Vorpommern,19,15,34,365,336,701
2004,Thuringen,Sachsen,123,101,224,2407,2447,4854
2004,Thuringen,Sachsen-Anhalt,57,27,84,1206,1226,2432
2004,Thuringen,Thuringen,0,0,0,0,0,0
2004,Thuringen,Insgesamt,1567,1022,2589,17937,18522,36459
2004,Insgesamt,Schleswig-Holstein,3068,2398,5466,31327,32002,63329
2004,Insgesamt,Hamburg,3988,3183,7171,30943,29909,60852
2004,Insgesamt,Niedersachsen,6183,4881,11064,59414,59520,118934
2004,Insgesamt,Bremen,1636,1347,2983,11409,10965,22374
2004,Insgesamt,Nordrhein-Westfalen,13456,9975,23431,76339,74886,151225
2004,Insgesamt,Hessen,8817,6588,15405,45413,44667,90080
2004,Insgesamt,Rheinland-Pfalz,5543,4277,9820,33986,32909,66895
2004,Insgesamt,Baden-Wurttemberg,10914,8548,19462,64294,61808,126102
2004,Insgesamt,Bayern,10374,7613,17987,63716,60836,124552
2004,Insgesamt,Saarland,989,723,1712,5674,5407,11081
2004,Insgesamt,Berlin,4917,4151,9068,37032,36172,73204
2004,Insgesamt,Brandenburg,1618,1323,2941,29256,28987,58243
2004,Insgesamt,Mecklenburg-Vorpommern,1043,636,1679,13391,12459,25850
2004,Insgesamt,Sachsen,2517,1744,4261,24007,22460,46467
2004,Insgesamt,Sachsen-Anhalt,1783,959,2742,15111,13989,29100
2004,Insgesamt,Thuringen,1250,796,2046,13260,12953,26213
2004,Insgesamt,Insgesamt,78096,59142,137238,554572,539929,1094501
2005,Schleswig-Holstein,Schleswig-Holstein,0,0,0,0,0,0
2005,Schleswig-Holstein,Hamburg,915,933,1848,9210,9366,18576
2005,Schleswig-Holstein,Niedersachsen,296,244,540,4135,4074,8209
2005,Schleswig-Holstein,Bremen,56,43,99,453,414,867
2005,Schleswig-Holstein,Nordrhein-Westfalen,436,238,674,2928,2759,5687
2005,Schleswig-Holstein,Hessen,101,94,195,957,941,1898
2005,Schleswig-Holstein,Rheinland-Pfalz,30,23,53,451,470,921
2005,Schleswig-Holstein,Baden-Wurttemberg,197,145,342,1474,1405,2879
2005,Schleswig-Holstein,Bayern,151,122,273,1431,1381,2812
2005,Schleswig-Holstein,Saarland,9,4,13,81,75,156
2005,Schleswig-Holstein,Berlin,100,87,187,1182,1071,2253
2005,Schleswig-Holstein,Brandenburg,14,17,31,524,492,1016
2005,Schleswig-Holstein,Mecklenburg-Vorpommern,47,32,79,2137,2044,4181
2005,Schleswig-Holstein,Sachsen,16,29,45,392,352,744
2005,Schleswig-Holstein,Sachsen-Anhalt,21,16,37,343,330,673
2005,Schleswig-Holstein,Thuringen,9,16,25,194,184,378
2005,Schleswig-Holstein,Insgesamt,2398,2043,4441,25892,25358,51250
2005,Hamburg,Schleswig-Holstein,1068,961,2029,11062,11198,22260
2005,Hamburg,Hamburg,0,0,0,0,0,0
2005,Hamburg,Niedersachsen,513,456,969,6031,5937,11968
2005,Hamburg,Bremen,101,62,163,416,437,853
2005,Hamburg,Nordrhein-Westfalen,442,261,703,2222,2070,4292
2005,Hamburg,Hessen,143,139,282,859,804,1663
2005,Hamburg,Rheinland-Pfalz,60,41,101,327,280,607
2005,Hamburg,Baden-Wurttemberg,190,149,339,1101,1072,2173
2005,Hamburg,Bayern,242,168,410,1265,1261,2526
2005,Hamburg,Saarland,5,4,9,56,42,98
2005,Hamburg,Berlin,188,155,343,1387,1292,2679
2005,Hamburg,Brandenburg,32,10,42,378,302,680
2005,Hamburg,Mecklenburg-Vorpommern,92,37,129,1117,882,1999
2005,Hamburg,Sachsen,34,20,54,309,270,579
2005,Hamburg,Sachsen-Anhalt,27,7,34,193,176,369
2005,Hamburg,Thuringen,16,9,25,138,114,252
2005,Hamburg,Insgesamt,3153,2479,5632,26861,26137,52998
2005,Niedersachsen,Schleswig-Holstein,490,462,952,4834,5011,9845
2005,Niedersachsen,Hamburg,749,639,1388,6153,6240,12393
2005,Niedersachsen,Niedersachsen,0,0,0,0,0,0
2005,Niedersachsen,Bremen,623,599,1222,6702,6685,13387
2005,Niedersachsen,Nordrhein-Westfalen,2654,2126,4780,18375,18871,37246
2005,Niedersachsen,Hessen,835,793,1628,5161,5365,10526
2005,Niedersachsen,Rheinland-Pfalz,320,285,605,2227,2237,4464
2005,Niedersachsen,Baden-Wurttemberg,1148,1115,2263,6291,6339,12630
2005,Niedersachsen,Bayern,1161,975,2136,6935,6716,13651
2005,Niedersachsen,Saarland,103,114,217,438,475,913
2005,Niedersachsen,Berlin,602,539,1141,3701,3573,7274
2005,Niedersachsen,Brandenburg,161,142,303,1826,1795,3621
2005,Niedersachsen,Mecklenburg-Vorpommern,145,109,254,1840,1703,3543
2005,Niedersachsen,Sachsen,314,258,572,2200,2166,4366
2005,Niedersachsen,Sachsen-Anhalt,278,205,483,3506,3188,6694
2005,Niedersachsen,Thuringen,152,146,298,1458,1373,2831
2005,Niedersachsen,Insgesamt,9735,8507,18242,71647,71737,143384
2005,Bremen,Schleswig-Holstein,39,30,69,334,347,681
2005,Bremen,Hamburg,113,105,218,543,562,1105
2005,Bremen,Niedersachsen,566,522,1088,6256,6384,12640
2005,Bremen,Bremen,0,0,0,0,0,0
2005,Bremen,Nordrhein-Westfalen,234,189,423,1011,941,1952
